CustomerID,CustomerName,City,State,Country,Segment,JoinDate,OrderID,CustomerID,ProductID,OrderDate,Quantity,Sales,Discount,Profit,Region,ProductID,Category,SubCategory,ProductName,Brand,Cost,SellingPrice,EmployeeID,Manager,Department,Region,Month,SalesTarget,ProfitTarget,ReturnID,OrderID,Reason,ReturnDate
CUST-101,Customer 101,San Antonio,TX,United States,Consumer,27-12-22,ORD-1001,CUST-101,PROD-7105,17-04-24,2,1600,0.2,2,South,PROD-7105,Electronics,Phones,iPhone 14,Apple,799,1000,EMP-102,Bob Jones,Sales - Consumer,South,April,9426,1885.2,,ORD-1001,,
CUST-102,Customer 102,Phoenix,AZ,United States,Home Office,27-04-23,ORD-1002,CUST-102,PROD-2363,05-11-24,2,630,0.3,-10,West,PROD-2363,Furniture,Tables,Dining Table,Ashley,320,450,EMP-103,Charlie Brown,Sales - Home Office,West,November,10051,2010.2,,ORD-1002,,
CUST-103,Customer 103,San Jose,CA,United States,Corporate,14-01-23,ORD-1003,CUST-103,PROD-7105,24-08-24,3,2400,0.2,3,West,PROD-7105,Electronics,Phones,iPhone 14,Apple,799,1000,EMP-104,Diana Prince,Sales - Enterprise,West,August,7558,1511.6,,ORD-1003,,
CUST-104,Customer 104,Chicago,IL,United States,Home Office,23-01-23,ORD-1004,CUST-104,PROD-3235,16-11-24,5,100,0.2,25,Central,PROD-3235,Electronics,Accessories,Wireless Mouse,Logitech,15,25,EMP-101,Alice Smith,Sales - Corporate,Central,November,13838,2767.6,,ORD-1004,,
CUST-105,Customer 105,San Antonio,TX,United States,Corporate,01-09-22,ORD-1005,CUST-105,PROD-2363,30-03-24,2,900,0,260,South,PROD-2363,Furniture,Tables,Dining Table,Ashley,320,450,EMP-102,Bob Jones,Sales - Consumer,South,March,12513,2502.6,RET-5005,ORD-1005,Late Delivery,12-04-24
CUST-106,Customer 106,San Antonio,TX,United States,Consumer,03-01-23,ORD-1006,CUST-106,PROD-7545,05-02-24,4,1260,0.1,260,South,PROD-7545,Furniture,Chairs,Ergonomic Chair,Steelcase,250,350,EMP-103,Charlie Brown,Sales - Home Office,South,February,8943,1788.6,,ORD-1006,,
CUST-107,Customer 107,Philadelphia,PA,United States,Corporate,10-06-23,ORD-1007,CUST-107,PROD-7545,17-09-24,2,630,0.1,130,East,PROD-7545,Furniture,Chairs,Ergonomic Chair,Steelcase,250,350,EMP-104,Diana Prince,Sales - Enterprise,East,September,10675,2135,,ORD-1007,,
CUST-108,Customer 108,Houston,TX,United States,Corporate,08-10-22,ORD-1008,CUST-108,PROD-8837,31-10-24,4,40,0,20,South,PROD-8837,Office Supplies,Binders,Heavy Duty Binder,Avery,5,10,EMP-101,Alice Smith,Sales - Corporate,South,October,12869,2573.8,,ORD-1008,,
CUST-109,Customer 109,Los Angeles,CA,United States,Home Office,02-08-23,ORD-1009,CUST-109,PROD-7545,07-10-24,4,980,0.3,-20,West,PROD-7545,Furniture,Chairs,Ergonomic Chair,Steelcase,250,350,EMP-102,Bob Jones,Sales - Consumer,West,October,13571,2714.2,,ORD-1009,,
CUST-110,Customer 110,New York,NY,United States,Consumer,01-11-22,ORD-1010,CUST-110,PROD-3235,10-01-24,3,60,0.2,15,East,PROD-3235,Electronics,Accessories,Wireless Mouse,Logitech,15,25,EMP-103,Charlie Brown,Sales - Home Office,East,January,11736,2347.2,,ORD-1010,,
CUST-111,Customer 111,Chicago,IL,United States,Consumer,10-09-22,ORD-1011,CUST-111,PROD-4762,18-09-24,2,300,0,100,Central,PROD-4762,Furniture,Bookcases,5-Shelf Bookcase,Sauder,100,150,EMP-104,Diana Prince,Sales - Enterprise,Central,September,8099,1619.8,,ORD-1011,,
CUST-112,Customer 112,San Diego,CA,United States,Corporate,22-08-23,ORD-1012,CUST-112,PROD-4002,18-02-24,5,48,0.2,18,West,PROD-4002,Office Supplies,Art,Colored Pencils,Crayola,6,12,EMP-101,Alice Smith,Sales - Corporate,West,February,7731,1546.2,,ORD-1012,,
CUST-113,Customer 113,Chicago,IL,United States,Consumer,09-02-23,ORD-1013,CUST-113,PROD-8837,11-04-24,3,30,0,15,Central,PROD-8837,Office Supplies,Binders,Heavy Duty Binder,Avery,5,10,EMP-102,Bob Jones,Sales - Consumer,Central,April,6028,1205.6,,ORD-1013,,
CUST-114,Customer 114,San Antonio,TX,United States,Home Office,27-08-22,ORD-1014,CUST-114,PROD-8837,26-07-24,2,14,0.3,4,South,PROD-8837,Office Supplies,Binders,Heavy Duty Binder,Avery,5,10,EMP-103,Charlie Brown,Sales - Home Office,South,July,6484,1296.8,,ORD-1014,,
CUST-115,Customer 115,San Antonio,TX,United States,Consumer,03-08-23,ORD-1015,CUST-115,PROD-7545,06-04-24,5,1400,0.2,150,South,PROD-7545,Furniture,Chairs,Ergonomic Chair,Steelcase,250,350,EMP-104,Diana Prince,Sales - Enterprise,South,April,8242,1648.4,,ORD-1015,,
CUST-116,Customer 116,San Antonio,TX,United States,Home Office,24-01-23,ORD-1016,CUST-116,PROD-2363,27-03-24,5,2025,0.1,425,South,PROD-2363,Furniture,Tables,Dining Table,Ashley,320,450,EMP-101,Alice Smith,Sales - Corporate,South,March,7693,1538.6,,ORD-1016,,
CUST-117,Customer 117,Houston,TX,United States,Corporate,28-10-22,ORD-1017,CUST-117,PROD-4762,08-05-24,4,600,0,200,South,PROD-4762,Furniture,Bookcases,5-Shelf Bookcase,Sauder,100,150,EMP-102,Bob Jones,Sales - Consumer,South,May,12392,2478.4,,ORD-1017,,
CUST-118,Customer 118,Dallas,TX,United States,Consumer,03-02-23,ORD-1018,CUST-118,PROD-8837,16-09-24,3,30,0,15,South,PROD-8837,Office Supplies,Binders,Heavy Duty Binder,Avery,5,10,EMP-103,Charlie Brown,Sales - Home Office,South,September,9413,1882.6,,ORD-1018,,
CUST-119,Customer 119,Chicago,IL,United States,Corporate,05-04-23,ORD-1019,CUST-119,PROD-4002,01-06-24,1,8.4,0.3,2.4,Central,PROD-4002,Office Supplies,Art,Colored Pencils,Crayola,6,12,EMP-104,Diana Prince,Sales - Enterprise,Central,June,10232,2046.4,RET-5019,ORD-1019,Wrong Item,06-06-24
CUST-120,Customer 120,San Antonio,TX,United States,Corporate,02-09-22,ORD-1020,CUST-120,PROD-7105,23-04-24,1,800,0.2,1,South,PROD-7105,Electronics,Phones,iPhone 14,Apple,799,1000,EMP-101,Alice Smith,Sales - Corporate,South,April,9737,1947.4,,ORD-1020,,
CUST-121,Customer 121,San Antonio,TX,United States,Consumer,12-02-23,ORD-1021,CUST-121,PROD-3235,13-08-24,2,50,0,20,South,PROD-3235,Electronics,Accessories,Wireless Mouse,Logitech,15,25,EMP-102,Bob Jones,Sales - Consumer,South,August,6707,1341.4,,ORD-1021,,
CUST-122,Customer 122,Philadelphia,PA,United States,Home Office,04-11-22,ORD-1022,CUST-122,PROD-6243,22-07-24,5,52.5,0.3,12.5,East,PROD-6243,Office Supplies,Paper,Premium Copy Paper,Xerox,8,15,EMP-103,Charlie Brown,Sales - Home Office,East,July,12777,2555.4,,ORD-1022,,
CUST-123,Customer 123,New York,NY,United States,Consumer,23-05-23,ORD-1023,CUST-123,PROD-7545,06-07-24,3,735,0.3,-15,East,PROD-7545,Furniture,Chairs,Ergonomic Chair,Steelcase,250,350,EMP-104,Diana Prince,Sales - Enterprise,East,July,7811,1562.2,,ORD-1023,,
CUST-124,Customer 124,Chicago,IL,United States,Corporate,30-04-23,ORD-1024,CUST-124,PROD-6243,28-05-24,1,10.5,0.3,2.5,Central,PROD-6243,Office Supplies,Paper,Premium Copy Paper,Xerox,8,15,EMP-101,Alice Smith,Sales - Corporate,Central,May,10759,2151.8,,ORD-1024,,
CUST-125,Customer 125,San Diego,CA,United States,Consumer,31-12-22,ORD-1025,CUST-125,PROD-8837,31-05-24,2,16,0.2,6,West,PROD-8837,Office Supplies,Binders,Heavy Duty Binder,Avery,5,10,EMP-102,Bob Jones,Sales - Consumer,West,May,5262,1052.4,,ORD-1025,,
CUST-126,Customer 126,San Jose,CA,United States,Consumer,26-07-23,ORD-1026,CUST-126,PROD-5033,03-01-24,4,4800,0,1000,West,PROD-5033,Electronics,Laptops,ThinkPad X1,Lenovo,950,1200,EMP-103,Charlie Brown,Sales - Home Office,West,January,8108,1621.6,,ORD-1026,,
CUST-127,Customer 127,San Antonio,TX,United States,Consumer,03-02-23,ORD-1027,CUST-127,PROD-4002,09-04-24,4,33.6,0.3,9.6,South,PROD-4002,Office Supplies,Art,Colored Pencils,Crayola,6,12,EMP-104,Diana Prince,Sales - Enterprise,South,April,11197,2239.4,,ORD-1027,,
